Trade #,Trade Type,Date,Price,Profit
1,Entry long,2023-12-18 07:50:00,4780.25,-
1,Exit long,2023-12-18 07:55:00,4780.0,-50
2,Entry long,2023-12-18 08:00:00,4779.0,-
2,Exit long,2023-12-18 08:05:00,4778.5,-100
3,Entry long,2023-12-18 08:10:00,4779.0,-
4,Entry long,2023-12-18 08:20:00,4779.25,-
5,Entry long,2023-12-18 08:30:00,4780.0,-
6,Entry long,2023-12-18 09:05:00,4776.75,-
6,Exit long,2023-12-18 09:10:00,4776.0,-150
7,Entry long,2023-12-18 09:30:00,4774.25,-
8,Entry long,2023-12-18 09:40:00,4776.25,-
9,Entry long,2023-12-18 12:00:00,4777.25,-
10,Entry long,2023-12-18 12:40:00,4774.75,-
11,Entry long,2023-12-18 12:50:00,4775.5,-
12,Entry long,2023-12-18 22:10:00,4789.25,-
13,Entry long,2023-12-18 22:20:00,4790.25,-
13,Exit long,2023-12-18 22:25:00,4790.0,-50
14,Entry long,2023-12-18 22:30:00,4790.25,-
14,Exit long,2023-12-18 22:35:00,4789.5,-150
15,Entry long,2023-12-18 22:45:00,4789.75,-
16,Entry long,2023-12-18 22:55:00,4790.25,-
16,Exit long,2023-12-19 00:00:00,4790.0,-50
17,Entry long,2023-12-19 00:05:00,4789.75,-
18,Entry long,2023-12-19 02:35:00,4789.25,-
19,Entry long,2023-12-19 05:45:00,4793.5,-
20,Entry long,2023-12-19 07:55:00,4793.0,-
20,Exit long,2023-12-19 08:00:00,4794.5,300
21,Entry long,2023-12-19 15:05:00,4800.0,-
21,Exit long,2023-12-19 15:10:00,4799.5,-100
22,Entry long,2023-12-19 15:25:00,4797.25,-
23,Entry long,2023-12-19 18:20:00,4810.25,-
24,Entry long,2023-12-19 18:35:00,4811.25,-
25,Entry long,2023-12-19 18:45:00,4812.0,-
26,Entry long,2023-12-20 05:15:00,4821.0,-
26,Exit long,2023-12-20 05:20:00,4820.5,-100
27,Entry long,2023-12-20 05:25:00,4820.75,-
28,Entry long,2023-12-20 05:35:00,4821.25,-
29,Entry long,2023-12-20 07:45:00,4820.5,-
30,Entry long,2023-12-20 07:55:00,4820.75,-
31,Entry long,2023-12-20 08:05:00,4821.25,-
31,Exit long,2023-12-20 08:10:00,4820.25,-200
32,Entry long,2023-12-20 08:15:00,4821.0,-
33,Entry long,2023-12-20 09:40:00,4816.5,-
33,Exit long,2023-12-20 09:45:00,4815.75,-150
34,Entry long,2023-12-20 09:50:00,4816.25,-
35,Entry long,2023-12-20 10:10:00,4811.75,-
36,Entry long,2023-12-20 10:20:00,4812.75,-
36,Exit long,2023-12-20 10:25:00,4812.0,-150
37,Entry long,2023-12-20 10:45:00,4812.0,-
38,Entry long,2023-12-20 10:55:00,4812.5,-
39,Entry long,2023-12-20 12:50:00,4810.5,-
40,Entry long,2023-12-20 13:10:00,4809.25,-
41,Entry long,2023-12-20 15:20:00,4808.0,-
42,Entry long,2023-12-20 20:05:00,4819.5,-
43,Entry long,2023-12-20 20:35:00,4806.0,-
43,Exit long,2023-12-20 20:40:00,4803.25,-550
44,Entry long,2023-12-20 20:45:00,4797.5,-
45,Entry long,2023-12-20 21:05:00,4768.75,-
46,Entry long,2023-12-20 21:15:00,4779.25,-
46,Exit long,2023-12-20 21:20:00,4770.75,"-1,700"
47,Entry long,2023-12-20 21:40:00,4768.0,-
48,Entry long,2023-12-20 22:00:00,4747.5,-
48,Exit long,2023-12-20 22:05:00,4745.0,-500
49,Entry long,2023-12-20 22:10:00,4746.5,-
50,Entry long,2023-12-20 22:20:00,4749.25,-
51,Entry long,2023-12-20 22:30:00,4750.25,-
51,Exit long,2023-12-20 22:35:00,4748.25,-400
52,Entry long,2023-12-20 22:40:00,4750.0,-
53,Entry long,2023-12-20 22:50:00,4752.25,-
54,Entry long,2023-12-21 11:30:00,4772.0,-
54,Exit long,2023-12-21 11:35:00,4770.0,-400
55,Entry long,2023-12-21 11:45:00,4770.25,-
56,Entry long,2023-12-21 12:00:00,4771.25,-
57,Entry long,2023-12-21 18:10:00,4762.75,-
58,Entry long,2023-12-21 18:20:00,4764.75,-
58,Exit long,2023-12-21 18:25:00,4762.75,-400
59,Entry long,2023-12-21 18:35:00,4764.5,-
