Trade #,Type,Signal,Date/Time,Price,Contracts,Profit,Cumulative Profit,RSI 14,K_14,D_3
141,Exit long,Open,"Feb 16, 2024, 22:55","5,014.50",4,-4550,97800,45.3125,14.28571429,14.7859625
141,Entry long,L,"Feb 16, 2024, 14:35","5,037.25",4,,,19.62616822,12.79069767,9.069004241
140,Exit short,L,"Feb 16, 2024, 14:35","5,037.25",4,3250,102350,19.62616822,12.79069767,9.069004241
140,Entry short,S,"Feb 16, 2024, 10:00","5,053.50",4,,,75,93.10344828,89.65517241
139,Exit long,S,"Feb 16, 2024, 10:00","5,053.50",4,7650,99100,75,93.10344828,89.65517241
139,Entry long,L,"Feb 15, 2024, 3:45","5,015.25",4,,,75,83.33333333,88.88888889
138,Exit short,L,"Feb 15, 2024, 3:45","5,015.25",4,650,91450,75,83.33333333,88.88888889
138,Entry short,S,"Feb 15, 2024, 0:35","5,018.50",4,,,33.33333333,33.33333333,33.33333333
137,Exit long,S,"Feb 15, 2024, 0:35","5,018.50",4,5300,90800,33.33333333,33.33333333,33.33333333
137,Entry long,L,"Feb 14, 2024, 15:00","4,992.00",4,,,44.76190476,7.894736842,11.45224172
136,Exit short,L,"Feb 14, 2024, 15:00","4,992.00",4,-4450,85500,44.76190476,7.894736842,11.45224172
136,Entry short,S,"Feb 14, 2024, 1:20","4,969.75",4,,,40,5.882352941,13.07189542
135,Exit long,S,"Feb 14, 2024, 1:20","4,969.75",4,-14100,89950,40,5.882352941,13.07189542
135,Entry long,L,"Feb 12, 2024, 21:25","5,040.25",4,,,63.15789474,63.63636364,48.73312962
134,Exit short,L,"Feb 12, 2024, 21:25","5,040.25",4,3650,104050,63.15789474,63.63636364,48.73312962
134,Entry short,S,"Feb 12, 2024, 17:20","5,058.50",4,,,93.24324324,94.52054795,92.17770885
133,Exit long,S,"Feb 12, 2024, 17:20","5,058.50",4,2900,100400,93.24324324,94.52054795,92.17770885
133,Entry long,L,"Feb 12, 2024, 1:50","5,044.00",4,,,59.09090909,83.33333333,87.40740741
132,Exit short,L,"Feb 12, 2024, 1:50","5,044.00",4,-4200,97500,59.09090909,83.33333333,87.40740741
132,Entry short,S,"Feb 09, 2024, 9:30","5,023.00",4,,,78.26086957,100,93.33333333
131,Exit long,S,"Feb 09, 2024, 9:30","5,023.00",4,1700,101700,78.26086957,100,93.33333333
131,Entry long,L,"Feb 09, 2024, 3:20","5,014.50",4,,,56,75,62.5
130,Exit short,L,"Feb 09, 2024, 3:20","5,014.50",4,-650,100000,56,75,62.5
130,Entry short,S,"Feb 08, 2024, 17:00","5,011.25",4,,,48.86363636,62.16216216,83.78378378
129,Exit long,S,"Feb 08, 2024, 17:00","5,011.25",4,450,100650,48.86363636,62.16216216,83.78378378
129,Entry long,L,"Feb 08, 2024, 11:50","5,009.00",4,,,21.42857143,0,4.647435897
128,Exit short,L,"Feb 08, 2024, 11:50","5,009.00",4,-3850,100200,21.42857143,0,4.647435897
128,Entry short,S,"Feb 07, 2024, 14:35","4,989.75",4,,,90.4109589,95.23809524,92.73881674
127,Exit long,S,"Feb 07, 2024, 14:35","4,989.75",4,2950,104050,90.4109589,95.23809524,92.73881674
127,Entry long,L,"Feb 07, 2024, 6:15","4,975.00",4,,,50,66.66666667,42.85714286
126,Exit short,L,"Feb 07, 2024, 6:15","4,975.00",4,1350,101100,50,66.66666667,42.85714286
126,Entry short,S,"Feb 07, 2024, 2:40","4,981.75",4,,,76.78571429,84.7826087,86.95652174
125,Exit long,S,"Feb 07, 2024, 2:40","4,981.75",4,4150,99750,76.78571429,84.7826087,86.95652174
125,Entry long,L,"Feb 06, 2024, 1:55","4,961.00",4,,,73.91304348,88.23529412,88.23529412
124,Exit short,L,"Feb 06, 2024, 1:55","4,961.00",4,3100,95600,73.91304348,88.23529412,88.23529412
124,Entry short,S,"Feb 05, 2024, 20:45","4,976.50",4,,,79.72972973,93.10344828,87.99424431
123,Exit long,S,"Feb 05, 2024, 20:45","4,976.50",4,700,92500,79.72972973,93.10344828,87.99424431
123,Entry long,L,"Feb 05, 2024, 1:15","4,973.00",4,,,33.87096774,26.31578947,56.7821994
122,Exit short,L,"Feb 05, 2024, 1:15","4,973.00",4,800,91800,33.87096774,26.31578947,56.7821994
122,Entry short,S,"Feb 02, 2024, 19:10","4,977.00",4,,,53.78151261,73.73737374,67.34006734
121,Exit long,S,"Feb 02, 2024, 19:10","4,977.00",4,4350,91000,53.78151261,73.73737374,67.34006734
121,Entry long,L,"Feb 02, 2024, 4:30","4,955.25",4,,,40.74074074,0,25
120,Exit short,L,"Feb 02, 2024, 4:30","4,955.25",4,-6050,86650,40.74074074,0,25
120,Entry short,S,"Feb 01, 2024, 21:30","4,925.00",4,,,71.18644068,89.47368421,84.21052632
119,Exit long,S,"Feb 01, 2024, 21:30","4,925.00",4,9900,92700,71.18644068,89.47368421,84.21052632
119,Entry long,L,"Feb 01, 2024, 8:10","4,875.50",4,,,34.48275862,25,19.5970696
118,Exit short,L,"Feb 01, 2024, 8:10","4,875.50",4,1650,82800,34.48275862,25,19.5970696
118,Entry short,S,"Feb 01, 2024, 3:10","4,883.75",4,,,60.37735849,88.46153846,91.02564103
117,Exit long,S,"Feb 01, 2024, 3:10","4,883.75",4,-8500,81150,60.37735849,88.46153846,91.02564103
117,Entry long,L,"Jan 31, 2024, 13:40","4,926.25",4,,,46,36.84210526,27.76057792
116,Exit short,L,"Jan 31, 2024, 13:40","4,926.25",4,2100,89650,46,36.84210526,27.76057792
116,Entry short,S,"Jan 31, 2024, 9:25","4,936.75",4,,,75,82.14285714,91.38304225
115,Exit long,S,"Jan 31, 2024, 9:25","4,936.75",4,300,87550,75,82.14285714,91.38304225
115,Entry long,L,"Jan 30, 2024, 22:45","4,935.25",4,,,27.20588235,3.797468354,6.762014357
114,Exit short,L,"Jan 30, 2024, 22:45","4,935.25",4,3750,87250,27.20588235,3.797468354,6.762014357
114,Entry short,S,"Jan 30, 2024, 18:10","4,954.00",4,,,77.55102041,83.33333333,87.01452212
113,Exit long,S,"Jan 30, 2024, 18:10","4,954.00",4,-50,83500,77.55102041,83.33333333,87.01452212
113,Entry long,L,"Jan 30, 2024, 3:35","4,954.25",4,,,45.83333333,55.55555556,44.44444444
112,Exit short,L,"Jan 30, 2024, 3:35","4,954.25",4,-8600,83550,45.83333333,55.55555556,44.44444444
112,Entry short,S,"Jan 29, 2024, 4:40","4,911.25",4,,,56.75675676,46.66666667,31.11111111
111,Exit long,S,"Jan 29, 2024, 4:40","4,911.25",4,-650,92150,56.75675676,46.66666667,31.11111111
111,Entry long,L,"Jan 26, 2024, 19:05","4,914.50",4,,,27.3381295,23.59550562,17.97752809
110,Exit short,L,"Jan 26, 2024, 19:05","4,914.50",4,50,92800,27.3381295,23.59550562,17.97752809
110,Entry short,S,"Jan 26, 2024, 11:15","4,914.75",4,,,89.09090909,95.91836735,87.94763188
109,Exit long,S,"Jan 26, 2024, 11:15","4,914.75",4,1800,92750,89.09090909,95.91836735,87.94763188
