Trade #,Trade Type,Opening Date,Open Price,Closing Date,Closing Price,Stop loss?,Profit,Tolerance
1,Short,2023-12-18 01:30:00,4777.0,2023-12-18 07:10:00,4782.5,Yes,-1100.0,5.0
3,Long,2023-12-18 09:20:00,4774.5,2023-12-19 16:30:00,4812.25,No,7550.0,5.0
5,Short,2023-12-19 16:30:00,4812.25,2023-12-19 16:30:00,4811.75,No,100.0,5.0
7,Long,2023-12-19 21:05:00,4811.75,2023-12-20 16:35:00,4824.75,No,2600.0,5.0
9,Short,2023-12-20 16:35:00,4824.75,2023-12-20 16:35:00,4768.5,No,11250.0,5.0
11,Long,2023-12-20 21:00:00,4768.5,2023-12-20 21:25:00,4763.5,Yes,-1000.0,5.0
13,Short,2023-12-21 04:00:00,4761.25,2023-12-21 06:30:00,4766.75,Yes,-1100.0,5.0
15,Long,2023-12-21 12:35:00,4770.5,2023-12-21 18:00:00,4763.5,Yes,-1400.0,5.0
17,Short,2023-12-21 22:45:00,4796.75,2023-12-21 22:45:00,4789.75,No,1400.0,5.0
19,Long,2023-12-22 03:45:00,4789.75,2023-12-22 15:25:00,4806.25,No,3300.0,5.0
21,Short,2023-12-22 15:25:00,4806.25,2023-12-22 15:35:00,4814.0,Yes,-1550.0,5.0
23,Long,2023-12-22 19:55:00,4810.5,2023-12-22 20:05:00,4801.5,Yes,-1800.0,5.0
25,Short,2023-12-28 01:25:00,4836.0,2023-12-28 03:05:00,4841.5,Yes,-1100.0,5.0
27,Long,2023-12-28 07:00:00,4840.25,2023-12-28 09:55:00,4834.5,Yes,-1150.0,5.0
29,Short,2023-12-29 22:05:00,4814.25,2024-01-02 00:05:00,4821.25,Yes,-1400.0,5.0
31,Long,2024-01-02 11:05:00,4815.5,2024-01-02 12:05:00,4807.75,Yes,-1550.0,5.0
33,Short,2024-01-03 02:10:00,4786.0,2024-01-03 02:10:00,4784.0,No,400.0,5.0
35,Long,2024-01-03 05:40:00,4784.0,2024-01-03 10:05:00,4778.75,Yes,-1050.0,5.0
37,Short,2024-01-03 20:25:00,4768.75,2024-01-03 20:25:00,4739.75,No,5800.0,5.0
39,Long,2024-01-04 21:15:00,4739.75,2024-01-04 21:50:00,4729.0,Yes,-2150.0,5.0
41,Short,2024-01-05 15:30:00,4736.25,2024-01-05 16:00:00,4753.25,Yes,-3400.0,5.0
43,Long,2024-01-05 20:55:00,4723.5,2024-01-08 02:25:00,4741.75,No,3650.0,5.0
45,Short,2024-01-08 02:25:00,4741.75,2024-01-08 02:25:00,4732.0,No,1950.0,5.0
47,Long,2024-01-08 05:25:00,4732.0,2024-01-08 10:00:00,4726.75,Yes,-1050.0,5.0
49,Short,2024-01-08 15:45:00,4746.0,2024-01-08 15:55:00,4752.25,Yes,-1250.0,5.0
51,Long,2024-01-09 02:00:00,4797.25,2024-01-09 09:00:00,4791.0,Yes,-1250.0,5.0
53,Short,2024-01-09 17:15:00,4784.5,2024-01-09 17:50:00,4792.5,Yes,-1600.0,5.0
55,Long,2024-01-10 14:35:00,4793.0,2024-01-10 21:00:00,4826.5,No,6700.0,5.0
57,Short,2024-01-10 21:00:00,4826.5,2024-01-10 21:00:00,4827.5,No,-200.0,5.0
59,Long,2024-01-11 02:15:00,4827.5,2024-01-11 14:30:00,4816.75,Yes,-2150.0,5.0
61,Short,2024-01-11 21:20:00,4810.5,2024-01-11 21:20:00,4809.5,No,200.0,5.0
63,Long,2024-01-12 03:30:00,4809.5,2024-01-12 08:35:00,4803.75,Yes,-1150.0,5.0
65,Short,2024-01-15 04:10:00,4817.0,2024-01-15 08:05:00,4822.25,Yes,-1050.0,5.0
67,Long,2024-01-15 09:55:00,4810.5,2024-01-16 01:00:00,4805.5,Yes,-1000.0,5.0
69,Short,2024-01-16 13:25:00,4798.25,2024-01-16 13:45:00,4804.25,Yes,-1200.0,5.0
71,Long,2024-01-16 20:35:00,4786.0,2024-01-17 01:25:00,4797.25,No,2250.0,5.0
73,Short,2024-01-17 01:25:00,4797.25,2024-01-17 01:25:00,4790.25,No,1400.0,5.0
75,Long,2024-01-17 04:10:00,4790.25,2024-01-17 06:50:00,4784.25,Yes,-1200.0,5.0
77,Short,2024-01-18 00:35:00,4770.0,2024-01-18 00:35:00,4765.75,No,850.0,5.0
79,Long,2024-01-18 05:20:00,4765.75,2024-01-18 12:50:00,4786.5,No,4150.0,5.0
81,Short,2024-01-18 12:50:00,4786.5,2024-01-18 13:20:00,4791.75,Yes,-1050.0,5.0
83,Long,2024-01-18 17:20:00,4791.5,2024-01-18 18:00:00,4779.75,Yes,-2350.0,5.0
85,Short,2024-01-18 22:50:00,4812.5,2024-01-18 22:50:00,4814.25,No,-350.0,5.0
87,Long,2024-01-19 05:50:00,4814.25,2024-01-19 20:10:00,4869.5,No,11050.0,5.0
89,Short,2024-01-19 20:10:00,4869.5,2024-01-22 00:00:00,4878.75,Yes,-1850.0,5.0
91,Long,2024-01-22 17:50:00,4884.75,2024-01-22 19:05:00,4879.75,Yes,-1000.0,5.0
93,Short,2024-01-23 14:25:00,4888.5,2024-01-23 14:25:00,4877.0,No,2300.0,5.0
95,Long,2024-01-23 18:30:00,4877.0,2024-01-23 21:30:00,4891.0,No,2800.0,5.0
97,Short,2024-01-23 21:30:00,4891.0,2024-01-23 22:10:00,4898.5,Yes,-1500.0,5.0
99,Long,2024-01-24 04:45:00,4905.5,2024-01-24 21:15:00,4900.0,Yes,-1100.0,5.0
101,Short,2024-01-25 08:10:00,4902.75,2024-01-25 14:30:00,4911.0,Yes,-1650.0,5.0
103,Long,2024-01-25 19:25:00,4905.75,2024-01-25 20:00:00,4900.0,Yes,-1150.0,5.0
105,Short,2024-01-26 11:15:00,4914.75,2024-01-26 13:10:00,4920.0,Yes,-1050.0,5.0
107,Long,2024-01-26 19:05:00,4914.5,2024-01-29 00:00:00,4905.25,Yes,-1850.0,5.0
109,Short,2024-01-29 04:40:00,4911.25,2024-01-29 08:40:00,4916.75,Yes,-1100.0,5.0
111,Long,2024-01-30 03:35:00,4954.25,2024-01-30 08:05:00,4948.5,Yes,-1150.0,5.0
113,Short,2024-01-30 18:10:00,4954.0,2024-01-30 18:10:00,4935.25,No,3750.0,5.0
115,Long,2024-01-30 22:45:00,4935.25,2024-01-31 00:20:00,4929.75,Yes,-1100.0,5.0
