Trade #,Trade Type,Opening Date,Open Price,Closing Date,Closing Price,Stop loss?,Profit,Tolerance,Realised volatility
0,Short,2025-01-02 04:40:00+00:00,5954.0,2025-01-02 10:30:06+00:00,5969.75,No,-3150.0,20,5.104301949369969
1,Long,2025-01-02 10:30:06+00:00,5969.75,2025-01-02 14:40:00+00:00,5935.75,Yes,-6800.0,20,10.893149878970467
2,Short,2025-01-03 00:00:03+00:00,5914.75,2025-01-03 08:15:00+00:00,5936.0,Yes,-4250.0,20,2.981871201908317
3,Long,2025-01-06 00:15:05+00:00,5988.25,2025-01-06 00:15:05+00:00,5995.5,No,1450.0,20,3.693953907073642
4,Short,2025-01-06 07:15:11+00:00,5995.5,2025-01-06 09:55:00+00:00,6016.0,Yes,-4100.0,20,6.290829338820223
5,Long,2025-01-06 18:05:00+00:00,6043.0,2025-01-06 19:05:00+00:00,6018.5,Yes,-4900.0,20,7.953087611997152
6,Short,2025-01-07 09:40:02+00:00,6026.0,2025-01-07 15:40:05+00:00,5976.5,No,9900.0,20,11.588301004385054
7,Long,2025-01-07 15:40:05+00:00,5976.5,2025-01-07 20:15:00+00:00,5956.0,Yes,-4100.0,20,10.177347841697712
8,Short,2025-01-08 01:50:07+00:00,5966.75,2025-01-09 02:15:13+00:00,5947.5,No,3850.0,20,11.926047332717006
9,Long,2025-01-09 02:15:13+00:00,5947.5,2025-01-10 00:15:00+00:00,5924.5,Yes,-4600.0,20,6.249673904536418
10,Short,2025-01-10 04:20:18+00:00,5941.25,2025-01-10 10:10:03+00:00,5938.5,No,550.0,20,3.2178574588161606
11,Long,2025-01-10 10:10:03+00:00,5938.5,2025-01-10 13:35:00+00:00,5893.5,Yes,-9000.0,20,9.618468642377032
12,Short,2025-01-13 07:50:03+00:00,5841.25,2025-01-13 18:50:00+00:00,5862.25,Yes,-4200.0,20,12.597524945178337
13,Long,2025-01-14 03:20:01+00:00,5888.75,2025-01-14 16:05:00+00:00,5864.0,Yes,-4950.0,20,7.881497775229183
14,Short,2025-01-14 21:50:12+00:00,5891.5,2025-01-15 13:35:00+00:00,5966.25,Yes,-14950.0,20,8.471267840174779
15,Long,2025-01-15 18:15:00+00:00,5977.5,2025-01-15 18:15:00+00:00,6015.75,No,7650.0,20,5.651536254055625
16,Short,2025-01-16 07:45:00+00:00,6015.75,2025-01-16 12:15:03+00:00,6000.0,No,3150.0,20,4.681051962406258
17,Long,2025-01-16 12:15:03+00:00,6000.0,2025-01-16 15:05:00+00:00,5979.5,Yes,-4100.0,20,5.310102872202099
18,Short,2025-01-17 02:25:00+00:00,5985.25,2025-01-17 13:10:00+00:00,6006.0,Yes,-4150.0,20,6.47815811002705
19,Long,2025-01-17 20:05:00+00:00,6035.0,2025-01-17 20:05:00+00:00,6041.0,No,1200.0,20,4.782347286286003
20,Short,2025-01-20 07:55:09+00:00,6041.0,2025-01-20 12:15:10+00:00,6032.5,No,1700.0,20,1.9561739964466496
21,Long,2025-01-20 12:15:10+00:00,6032.5,2025-01-21 01:00:00+00:00,6011.0,Yes,-4300.0,20,14.293751475016855
22,Short,2025-01-21 10:15:02+00:00,6060.75,2025-01-21 18:00:00+00:00,6081.75,Yes,-4200.0,20,6.924439199541288
23,Long,2025-01-22 06:05:00+00:00,6102.75,2025-01-22 06:05:00+00:00,6115.0,No,2450.0,20,8.204137049587375
24,Short,2025-01-23 13:00:02+00:00,6115.0,2025-01-23 18:15:00+00:00,6136.0,Yes,-4200.0,20,7.605639363525474
25,Long,2025-01-24 03:45:04+00:00,6146.75,2025-01-24 03:45:04+00:00,6157.25,No,2100.0,20,2.9075702748048866
26,Short,2025-01-24 14:55:00+00:00,6157.25,2025-01-24 19:00:00+00:00,6128.25,No,5800.0,20,6.58565230835417
27,Long,2025-01-24 19:00:00+00:00,6128.25,2025-01-26 23:05:00+00:00,6102.0,Yes,-5250.0,20,4.944450493511696
28,Short,2025-01-27 12:40:01+00:00,5995.0,2025-01-27 14:35:00+00:00,6025.0,Yes,-6000.0,20,5.964320793656581
29,Long,2025-01-28 04:10:00+00:00,6043.0,2025-01-28 04:10:00+00:00,6061.5,No,3700.0,20,7.648387839176406
30,Short,2025-01-28 09:30:01+00:00,6061.5,2025-01-28 13:50:00+00:00,6053.75,No,1550.0,20,7.047168903542244
31,Long,2025-01-28 13:50:00+00:00,6053.75,2025-01-28 14:50:00+00:00,6029.25,Yes,-4900.0,20,8.517656999975449
32,Short,2025-01-30 00:35:00+00:00,6078.5,2025-01-30 07:00:00+00:00,6088.25,No,-1950.0,20,3.6153293732185
33,Long,2025-01-30 07:00:00+00:00,6088.25,2025-01-30 16:00:00+00:00,6064.25,Yes,-4800.0,20,6.877066612443199
34,Short,2025-01-30 20:15:00+00:00,6111.0,2025-01-31 13:45:01+00:00,6125.5,No,-2900.0,20,9.77387590444147
35,Long,2025-01-31 13:45:01+00:00,6125.5,2025-01-31 18:35:00+00:00,6099.75,Yes,-5150.0,20,9.374553830883404
36,Short,2025-02-03 07:20:07+00:00,5956.75,2025-02-03 08:20:00+00:00,5985.0,Yes,-5650.0,20,8.762869323907484
37,Long,2025-02-04 03:00:03+00:00,6034.25,2025-02-04 05:10:00+00:00,6001.75,Yes,-6500.0,20,6.5553633355854855
38,Short,2025-02-04 13:00:17+00:00,6027.25,2025-02-04 15:10:00+00:00,6050.5,Yes,-4650.0,20,6.745746523094843
39,Long,2025-02-04 20:35:07+00:00,6058.75,2025-02-05 03:25:00+00:00,6037.25,Yes,-4300.0,20,5.764379131371073
40,Short,2025-02-05 11:20:25+00:00,6034.25,2025-02-05 16:10:00+00:00,6057.25,Yes,-4600.0,20,6.717194991973479
41,Long,2025-02-06 09:35:00+00:00,6101.25,2025-02-06 19:35:00+00:00,6074.0,Yes,-5450.0,20,4.680918014374988
42,Short,2025-02-07 00:55:13+00:00,6101.5,2025-02-07 05:35:03+00:00,6100.25,No,250.0,20,2.2547208771300795
43,Long,2025-02-07 05:35:03+00:00,6100.25,2025-02-07 15:55:00+00:00,6058.75,Yes,-8300.0,20,7.292416412692935
44,Short,2025-02-10 01:20:00+00:00,6068.25,2025-02-10 15:30:00+00:00,6088.5,Yes,-4050.0,20,6.733393170707565
45,Long,2025-02-10 17:20:00+00:00,6076.0,2025-02-10 17:20:00+00:00,6091.5,No,3100.0,20,7.614239535962783
